source_index,true_label,correct_seed_count,predicted_right_seed_count,unanimous_prediction,final_score_seed_sd,f1_score_seed_sd,f2_score_seed_sd,f3_score_seed_sd
0,0,3,0,1,0.580101233189942,0.24027104010605477,0.439275383819893,0.7564847741949214
1,1,0,0,1,0.7761346783930836,0.2640781673466535,0.3310581523370665,0.22681205121139428
2,0,2,1,0,0.5794620052368676,0.12163785113671473,0.602348891066915,0.03315746569551676
3,1,2,2,0,0.34722229860842957,0.06374049783786029,0.4067521738749287,0.06871430290596223
4,0,3,0,1,0.2615837055747158,0.101997773779972,0.42565925390150844,0.32596864220705657
5,1,0,0,1,0.5906812671871831,0.21966106237515218,0.7332084417338349,0.3018480418299206
6,0,0,3,1,0.7892134678712431,0.05698714857239441,1.0282136565121707,0.07202523231474461
7,1,0,0,1,1.52513496107383,0.2979552727922999,1.1210719714406938,0.631334650647908
8,0,1,2,0,0.8960545054729866,0.05470071374805713,0.6155890290116486,0.3731043914142946
9,0,0,3,1,0.16874822448801813,0.371751590264103,0.43815175511357407,0.16137313534852646
10,1,1,1,0,1.317595517514857,0.11272002094386051,1.6737312465288523,0.4535060138790168
11,1,0,0,1,0.9169898378466292,0.3617906333046503,0.9057422345038891,0.27661907405107744
12,0,3,0,1,0.20018620874344362,0.3616447642046047,0.3950524151010728,0.5781294344662479
13,0,2,1,0,0.8461168473643301,0.1324433238797611,0.7600669250363066,0.2243113704245233
14,1,2,2,0,1.2166706996754908,0.28932091842046903,1.5867532936922144,0.4356356680559689
15,1,1,1,0,0.6992271889756261,0.41360038707920216,0.749717187388483,0.19706053169645485
16,1,0,0,1,1.2578335824493518,0.17679047088389013,0.8887512668284383,0.7123693152504499
17,0,0,3,1,0.8365941633098357,0.14580292607634585,1.2111630232556543,0.09011402860503487
18,0,0,3,1,0.13834494806972042,0.04100635407675182,0.26989566520926417,0.28003817381971635
19,1,1,1,0,0.4609517855561337,0.12316423633804888,0.1698184838901593,0.7095487446211658
20,0,1,2,0,0.6207264246358343,0.05465067873783556,0.5111498533758018,0.10463719097222732
21,0,3,0,1,0.27470327712247405,0.42964118652264355,0.574477745366531,0.31544870155499255
22,1,0,0,1,0.7305754333525878,0.29110871459457227,0.46095886578335776,0.4311070204989742
23,0,0,3,1,0.25062151934983035,0.42020582704083626,0.29734082878828816,0.27851810035642804
24,1,3,3,1,0.6707805212319654,0.3286472090033991,0.6903734242091777,0.10921922445373348
25,0,3,0,1,0.2866462590329479,0.1654769526565331,0.27792000234025876,0.14386716844309128
26,0,3,0,1,0.2581658438714051,0.3866384314609988,0.34213516855955384,0.2883143246689996
27,0,3,0,1,0.41363466912073255,0.3438801725885161,0.4621237345231268,0.1390235007425238
28,0,1,2,0,0.16667460943878668,0.45806799974434936,0.6759789078277499,0.38766683662078444
29,0,1,2,0,0.5032282485457437,0.19155953929095804,0.5572499209613571,0.10557269632127898
30,0,1,2,0,1.1705879081305979,0.10803819995061305,1.4570912016321373,0.3887344451377951
31,0,3,0,1,1.2467747836085266,0.29272617733625517,1.3321275479058885,0.3658817396395986
