month_a,month_b,channel_rate_spearman,channel_composition_js,top32_jaccard,speed_distribution_js,direction_distribution_js,mean_rate_ratio_larger_to_smaller
2016-04,2016-06,0.3277038484274428,0.24034849796396823,0.3333333333333333,0.05630902454402006,0.13050457915364105,1.0926837271423933
2016-04,2016-09,0.476870066089936,0.24682918448457425,0.3617021276595745,0.09183481876316342,0.17683024398046313,1.6305132996779532
2016-04,2016-10,0.4155916385574785,0.2408095139931582,0.30612244897959184,0.08001218020921454,0.18370688838997834,1.933397053656242
2016-04,2016-12,0.3119277255811345,0.26478182022906827,0.28,0.09220389703250807,0.19250175345989715,2.184782531893371
2016-04,2017-01,0.34274745998080125,0.25767593259071964,0.30612244897959184,0.09284019552111095,0.1850043394459482,1.869124248526186
2016-06,2016-09,0.5181306394609029,0.2466463188697386,0.3617021276595745,0.05900761422578487,0.06783054827307475,1.4922097393562381
2016-06,2016-10,0.563415626695605,0.20943508276405998,0.4222222222222222,0.04696699268487904,0.06341993008378814,1.7694022576070552
2016-06,2016-12,0.41433803581117745,0.23491535498720867,0.3617021276595745,0.05185789973673157,0.07485620197864114,1.9994646919535033
2016-06,2017-01,0.47133749321758006,0.2330534864488659,0.391304347826087,0.05236404037549362,0.07555370464224237,1.710581206708692
2016-09,2016-10,0.8112053196440034,0.15177822722342119,0.6410256410256411,0.017752966567413306,0.029440983235956942,1.1857597567821814
2016-09,2016-12,0.5194872154661939,0.24083773629102803,0.3333333333333333,0.028683146711132743,0.03151068348947275,1.3399354254423395
2016-09,2017-01,0.5017567670770385,0.2679426352641038,0.3617021276595745,0.04762697712986299,0.04313623643509768,1.1463410012634434
2016-10,2016-12,0.5438822571893651,0.2210896203232305,0.45454545454545453,0.025588110792700066,0.022113569105300667,1.130022686111854
2016-10,2017-01,0.5448317959848074,0.2285702609647568,0.391304347826087,0.04209711697492974,0.03648461831903879,1.0343865878262162
2016-12,2017-01,0.5415355398806294,0.23179427819098475,0.391304347826087,0.028065475321095473,0.03333700980812842,1.168880310453456
