session,month,split,bins,duration_min,mean_firing_rate_hz,median_channel_rate_hz,channel_rate_iqr_hz,count_zero_fraction,count_p99,count_max,active_channels_ge_1hz,near_silent_channels_lt_0_1hz,prefix_silent_all_channels,prefix_silent_selected_channels,naive_prefix_normalized_abs_max,within_session_rate_spearman,population_rate_speed_correlation,speed_mean_cm_s,speed_median_cm_s,speed_rms_cm_s,speed_p95_cm_s,speed_p99_cm_s,stationary_fraction,vx_mean_cm_s,vy_mean_cm_s,vx_std_cm_s,vy_std_cm_s,direction_entropy,max_abs_global_robust_z,max_abs_within_month_robust_z,outlier_metrics,review_priority
indy_20160407_02,2016-04,train,20444,13.629333333333333,14.44117671036327,14.131285462727451,10.141728624535315,0.6114727018522141,4.0,8,90,6,6,0,7.233650146505194,0.9802584715579526,0.18151274050473537,4.436377576715251,1.5826756402329765,7.720901091463844,18.188363687465188,28.02342881081434,0.42300919585208374,0.008014453341132993,0.003342931848383647,6.841864438736051,3.5778665793278117,0.9416604095886622,2.411322031472163,2.853583719121625,,low
indy_20160411_01,2016-04,train,23830,15.886666666666667,22.601259791579242,20.090222408728494,20.575430130088122,0.48323410616869494,5.0,10,89,7,7,0,9.821130010627964,0.991627313683982,0.1791862946080057,5.4739337079719,2.212658728031263,9.280372339886206,21.70054175880044,33.743931841629525,0.3498950902224087,-0.010946084035153144,-0.003135109904216758,8.19677523953676,4.351787769844967,0.9594290463511415,4.2963336612982035,2.1704362089071947,,low
indy_20160411_02,2016-04,train,21999,14.666,22.14011621740382,20.89526796672576,19.859709532251465,0.49151618634180344,5.0,9,89,7,7,0,8.529837185749813,0.9913423438093688,0.18318035750592845,5.103200853572835,1.7725149138071818,9.026411380513059,21.356263826071224,33.727890764137236,0.39797263511977815,-0.005307154967807513,0.0009701582936443234,8.11482557100315,3.9529329940372215,0.9416362131048972,4.12976723020181,1.8691860161446978,,low
indy_20160418_01,2016-04,train,33940,22.62666666666667,17.591859408760556,14.250883912787272,15.432748968768415,0.5702050800432135,4.0,9,91,5,5,0,7.943084459451473,0.9862298195631529,0.16034267813450978,5.125045496059285,1.7246490574550448,9.301766603938884,22.48695088045956,36.10809680858255,0.4019446081319976,0.0017604698946270358,-0.0008379822376812845,8.160876688749495,4.463513170554032,0.9591629728561565,2.48692333786257,0.67448975,,low
indy_20160419_01,2016-04,train,13100,8.733333333333333,15.662849872773537,13.362595419847327,10.190839694656486,0.5985997137404581,4.0,9,92,4,4,0,9.980784862463183,0.9757781711874869,0.21737372701472654,4.416013120383412,0.9115698515666064,8.749643245160202,21.32978069981959,35.11278646222013,0.5119083969465649,0.00792515467633201,-0.006783623964297511,7.762208338068534,4.03785460465903,0.9539325902366268,2.5865080719453983,2.8706538261022154,,low
indy_20160420_01,2016-04,train,38830,25.886666666666667,16.6024108829084,14.752446561936647,12.01632114344579,0.579394690531376,4.0,9,91,5,5,0,7.845491257213027,0.9679555012888347,0.13364260304000844,5.42992311681916,1.5785626276405287,10.169993555048766,25.057027410679552,39.90541897001302,0.41964975534380633,-0.014540576222825268,-0.001790657836338862,9.17391050829531,4.389523921874667,0.9468318997180423,3.0170526541394955,1.630194139377777,,low
indy_20160426_01,2016-04,train,44051,29.36733333333333,19.019709872269264,16.85574674808744,12.098334884565617,0.5462323972970723,4.0,10,92,4,4,0,20.874979127811635,0.9488603027264184,0.154660976017544,4.919623976009112,1.3239612090359651,9.6489780918157,23.47741687172121,39.426616142930726,0.45220312819232256,-0.001548718825622478,-0.003599451315191459,8.674587567846965,4.225434106635014,0.9433912567353443,5.804613467782365,1.910680903321805,,low
indy_20160622_01,2016-06,train,61241,40.82733333333333,20.05123286823098,18.71070851227119,11.273391192175177,0.5098922698845545,4.0,9,94,2,2,0,14.356646280114308,0.9165892335135208,0.13989910889295276,3.9863686621228096,0.808287363622517,8.13775491766375,19.921753254269305,33.77302435565231,0.5306902238696298,0.0018262121187973886,0.0024432155666072636,7.253875039447039,3.6884065269022037,0.9402220368689078,10.515618051378958,8.161226357895904,stationary_fraction,medium
indy_20160624_03,2016-06,train,12499,8.332666666666666,15.033140151212095,11.825946075686055,11.36740939275142,0.6091295636984292,4.0,9,92,4,4,1,8.503489511311974,0.9813063826900901,0.16473659011664402,5.759158421061266,2.742046884073312,9.189137637465482,20.991707796489244,29.492426826407822,0.3302664213137051,0.011897954555885985,0.010358498179972097,6.9565504918070635,6.003865997456677,0.9787268938050561,1.6745225794207987,0.47752492929206136,,low
indy_20160627_01,2016-06,train,84073,56.04866666666667,18.12937120121799,14.995301702092227,13.299974426986072,0.5599735497722218,4.0,9,90,5,4,0,9.347205402744306,0.9657600217052159,0.06425905248082585,6.623522753417156,2.8993730584796156,10.74955187452331,25.40070919899112,35.99311780718814,0.2952196305591569,-0.0010360094083803346,-0.00013622501822441361,8.06304408221019,7.10916201387548,0.9831001431533907,3.3375537913465343,1.1822494338043366,,low
